User_name,when user commented?,Comments body,Number Of Likes,Number of Replies
Ashbro Gwin,2 days ago,I come form the future…..yeah they took it,,
James Young,2 months ago,"As far as we know, the modern Taliban was directly/indirectly sponsored and armed by CIA when Soviet invaded Afgan in 80's",43,View 4 replies
James Knox,5 days ago,This aged like milk,,
Alanmacer,3 days ago,"Planet of the Apes , just came true",,
69savp m,5 days ago,"Somehow USA loves to lose wars, in Vietnam and Afghanistan.",,
Btissam,17 hours ago,Why did you leave the Americans and evacuated the American troops first? |,,
G patl,1 week ago,"So, pretty much ""Make Afghanistan great again""",95,View 4 replies
Zazu Zaza,11 hours ago,"The answer is simple
Level the entire afghani country ✈️ 💣..",,
Damon Reynolds,6 days ago,"NEVER should have gone in there. Let the country evolve in it's own way and time, just as every other Islamic state has been doing",,
TNJ_MuthuRaman,6 days ago,Thank You USA and Russia for ruining a great nation....,,
Pork Scratchings,5 days ago,I thought they were something to do with the Teletubbies !,,
ClayMan5.0,1 week ago,All those US soldiers who sacrificed their lives. My goodness.,95,View 13 replies
Velo1010,6 days ago,The nation of Afghanistan and its people are living like it is 12 B.C. That’s a culture that hasn’t moved. Looking at these people is like watching a scene from the Passion of Christ. It’s just mind boggling.,,
Chip in4seven,5 days ago,😍 Sandra 😍,,
Eklavya001,3 days ago,"why are they putting the music here?, its just the sensational story for the media?",,
NIA,6 days ago,"Next stop:
Mexican Cartel takes over Mexico.",,
Carla Kemtch,1 week ago,"I've been seeing so many news about the Taliban and frankly, forgive me for living under a rock, i did not know what it was😅
It's so scary, all the videos and photos i see of the afghans trying to flee. I will keep them in my prayers. May god protect them and bring justice.",35,View reply
T M,6 days ago,Jesus come back and save this world! Bring forth your kingdom! There will never be peace as long as man is in charge!,17,
MALAYSIA Explorer,6 days ago,"enough with the mis-information on Talibans ... USA had killed Ghaddafi, Saddam and Osama with no reasons ... Talibans love peace and developments ...",,
random videos,1 day ago (edited),The british is stong so the british should go with usa  to defeat taliban,,
MrHotbulldozer,4 days ago,The Taliban is a dude called Stuart and another called Rolf. They are angry at women and should reman bachelor's.,,
Faisal Alkhedhrawi,1 week ago,"this is a great overview of the situation,  good job Aljazeera.",57,
Shaun Hopkins,3 days ago,Do they work for the C.I.A ?,,
Kano boro,1 day ago,"I have a better questions! 
Who are the USA??",,
Ram Pradeep,4 days ago,And its happening now..Taliban conquering Afghan,,
Aravind C,4 days ago,"The guys who are supported by your Country - Qatar , Al Jazeera",,
Curtis Thomas,1 week ago,"Anyone remember that in '97 the Talibs were invited to Texas to negotiate a pipeline deal with Unocal and were even given tours in the state?
Funny thing is that the same guy (Khalilzad) who negotiated on behalf of Unocal back then was also on the team that negotiated the ""peace deal"" last year.",67,View 13 replies
Dali Garwinder Lama,5 days ago,Just watch Rambo 3!! 🤣🤦‍♂️😆🤢,,
streetwarrior31,5 days ago,"so this was in May....they allready knowit that the taliban would come and run the country.
And they made it sound like a surprise
...yhea yhea....this is a well oil plan",,
Bernadine Wood,4 days ago,"But the real money question is,  when will they attack again a weak us!? Very weak administration! Think about it! What they want?",,
mshiferaw,5 days ago,Wow this sounds like what has been happening in Ethiopia... U.N and usa involvement is not helping.,,
blue moon,1 month ago,When America is involved there’s disaster and ripping off assets and resources but no peaceful ending . The country is back as it was before the war ……..,128,View 10 replies
Hetvi Ganatra,4 days ago,👍,,
TechSE टेक‌एस‌ई,6 days ago,मुझे अल जज़ीरा की स्टार्ट हेयर सीरीज़ बहुत पसंद है।,1,
Jonathan Garcia,5 days ago,"The alike sheep consequently replace because vulture modestly answer per a spotty oil. blushing, happy energy",,
LifePortal,4 days ago,So the almighty USA cannot stop Taliban? lmao,,
Nate majaw,1 month ago,"If the Afghans don't fight for themselves, no one will be able to help them.",67,View 11 replies
Werner S,1 day ago,"Too bad Afghan “Security Forces” were a joke the whole time. The U.S. wanted a better future for Afghanistan, but we couldn’t do it for them.",2,
RONY BANARIA,3 days ago,Always pray to Jesus you people of Afghanistan 😇,,
Mereb Hayl,2 days ago,"where can I get her number, I think she didn't hear they are in full control 😂",,
Beachgranny,3 days ago,A smooth talking liar who touts Taliban propaganda,,
Jerrylyn S,2 months ago (edited),"If we couldn’t beat them with a twenty year war then we can’t beat them. Not our problem, we need to get the troops out and end forever wars",169,View 24 replies
Fernando Iturburu,6 days ago (edited),And nobody paid attention to this documentary. It was so clear what will happen.,,
Hilda Perez,1 day ago,Did I see Cruz in Mexico doing the Shuffle Dance? |,,
Nasim khan,6 days ago,This seems 5 years old now,,
BONES,5 days ago,How ironic how it turned out,,
Nurzhan Abdykalyk,2 months ago,They are just ordinary afghan citizens. They almost didn’t have anything. Most of what they have are brought to them by their enemies who invaded their land.,44,
James Link,13 hours ago,IMPEACH!,,
Jacob Clark,5 days ago,"Maybe a phone app is on order, that shows the Taliban last know position. Can some one please tell me why I don't see the men with guns and stuff of that country fighting to protect their woman and children ? I know  there are genius people over there. maybe a phone app could put the people together to stop their atackers. These people have brains but.were is there courage in general ? If everyone does there part to protect one another I think those people would be better off. Don't those people exponentially out number the Taliban ? I mean can't they just pick one day that everyone takes off work to stop the Taliban, wouldn't that take down 90 percent of them ?",,
Mehmood Ahmed,3 days ago,Uncle Sam is the master of Taliban,,
Rabpit,5 days ago,Taliban today is no way the same as it was.,,
Will,2 months ago,"""US cant afford universal healthcare."" I wonder why ...",85,View 13 replies
onepunch oldman,2 days ago,The boogeyman created by McDonald imperialism thief fatty to scare you,,
Кирилл Григорьев,3 days ago,💔,,
RAVI SOREN,4 days ago,"Taliban - We will form most modern government 
Then 
Taliban killed women who just forget to put hijab on her head.",,
Chris Tian,6 days ago,Wow! He wants to reward Osama bin Ladin by giving them the power they want by September 11,,
Suppe,6 days ago,Looks like Al Jazeera knew the whole plot,81,View 4 replies
Dan,4 days ago,The Tailban are friends of CNN.,,
Ioannis Polemarkhos,4 days ago,"By Allah, she would make a good wife.",,
Lian Smith,2 days ago,Authorized King James Version holy bible bible index the epistles dedicatory,,
Ānübîs,5 days ago,i don't know who is more dangerous the wannabe Taliban or the real one?,,
mikthe2004,1 week ago,"Watching this on 16 August 2021, and seeing all the predictions become reality in double quick time is pretty scary!! Kabul is now under Taliban control and the President has fled!!",45,View reply
kemuael,4 days ago,I clicked because she's Hot and she has a lovely voice too.,,
Mit Shuler,5 days ago (edited),"I finf it quet ironic and extreme ridiculous when Al jeera talking about dictatorship and human rights.  🤣
Al Jeera itself is owned by Qatar monarchy who has absolute power over her people.",1,
Mark Catli,3 days ago,the most sexiest host id ever seen :D,,
nick youre stupid,20 hours ago,well now we know lol,,
Zak Walker,1 week ago,Spoiler alert: they did exactly what they said they would,66,View 2 replies
The Maverick w/ Hot Topics,5 days ago,"Yeah, this is what happens when males are in charge. 😒",,
Gabriel,6 days ago,W for the Talibans,,
cheyenne jones,4 days ago,😂,,
Brookie Brooke,6 days ago,Umm we need to focus on bettering OUR OWN COUNTRIES.,,
abeelvago,1 week ago,"Taliban: we will impose our own version of Sharia law

Out of touch people: yeah, but... will women be like, able to be judges?
* facepalms repeteadly *",137,View 39 replies
Hondapanda,1 day ago,"crappy facts smh do your research.
Nice theory !",,
John Dingler,3 days ago,"Who are the Talibanis? They are the people, you know, as in “We the Pople.” The Afghani people kicked out the invasion force who invaded Afghanistan illegally based on international law. Kharzai was a mere US puppet making Afghanistan a satrap mostly of the US.",1,View reply
Ludi et Historia,4 days ago,"Aljazeera, the news agency owned by qatar, a sharia law state that support the taliban. Half of this video was trying to make the taliban look good. I wonder why...",,
Van Allen,5 days ago,"Let's All sing this song!!
Day--o Dayee--yahe-hehoo...
Daylight come and we want go home..
Come Mister tali-man, taliban banana...",,
ستيجما - Stigma,1 week ago,"""They even money from the CIA""

The saying goes: ""They kill you, and then they walk in your grave.""",143,View 4 replies
Floor Kuwait,5 days ago,The evil forces of darkness and they do not know God !! Be happy today while you have a time when God hands will strike you all no one can escape from the wrath of God not even one can imagine what God power and sign and wonder and miracles can preform because HE GOD .. the LIVING GOD YESHUA,,
Zahidul Amin,10 hours ago,Those who kicked out US and alliance.,,
kreator861 201,6 days ago,"For those of you who are Star Trek fans,  think of the Marquees..",,
Leo The Boss,3 days ago,"War is like crack for presidents. It confers instant gravitas, catapulting them to respectability, bypassing all station stops. They get to make macho pronouncements on a topic where every utterance is seen as august.



ANN COULTER",,
azra azra,1 week ago,This video gave me a clear understanding and it all make sense.,32,View reply
Mandar Karpe,3 days ago,Seems like u supporting agenda of Taliban and not a single word on how US n Russia made Taliban to born,,
Ev,5 days ago,We're giving power to the people who killed thousands of lives on our soil? I'd hope not. But this is what happens when you elect an old man.,,View reply
abeismain,6 days ago,No favorable view of Islamic state? Shocking…,,
Frogs Please,23 hours ago,Now we know.,,
Alan,1 week ago,"""You fell victim to one of the classic blunders! The most famous of which is 'Never get involved in a land war in Asia""",85,View reply
Mivhael Bailey,6 days ago,"Lol, for all you ppl in the back just joining in, if you paid any attention the last 20+ years you would already know this lol.",,
Basir Attahee,22 hours ago,"We have to ask this question what was wrong? In my opinion Americans had bad judgment to trust Khalilzad, Pakistan and Ghani. All these peoples are working for Pakistan interest not US.",,
TS N,6 days ago,20 years to sink or swim... we aren't lifelong baby sitters ffs,,
SHAYAN DUTTA,6 days ago,LMAO,,
Haim Ben Avraham,1 week ago,"'if your going to do a job. Do it right and finish well, or don't do it at all'. My Dad's advice. R.i.p.",78,View 9 replies
Arief Rakhman,2 days ago,6:19 two months later: no,,
Nurandesh Yaligar,2 days ago,If Trump still now as President..situation was totally change..😂😁,,
Ali Hamza,6 days ago,Not a single blame on 🇵🇰. I don't know why people blame Pakistan for this?,,
Lee Grobler,5 days ago,Why does she sound like she's on the taliban's side? Lol,,
Capitalist R,1 month ago,"Who are the Taliban's?

Ans - Former lover of US military turned arch enemies when they found out that USA was cheating on them with other ""interests"".",171,View 13 replies
masyola,6 days ago,"The Taliban deserve to rule Afghan, without foreign influence",4,View reply
Angel Anela July,6 days ago,"I know I know, bring me a Banana?",,
Rafiki Four,4 days ago,"Using religion to gain power, nothing unusual.",,
Unknown 00,4 days ago,"The important thing from the world may be that the Taliban may make Afghanistan baldatun thoyiban warobun ghofur and like the prophet in the Medina charter and the nature of religious and racial tolerance. Take what you should have defended from a long time ago, make your cry first, become a smile of hope and statehood.. good luck afghanistan",,
Worrier for Truth,1 month ago (edited),I'm  more than sure  that 3 generations  in this country are realy tired of teaching lessons to every self-called superpower country obsessed with the ambition  for gaining supremacy trough partly or entirely domination over the world. Who is next??,22,
X veteran,3 days ago,See on virtsa reklaam keda huvitab need sittahoor d ? Raha Anti et talusid ehitaksid mida need persenussijad rahaga tegid vigastasid veteran Vanaraud a jätsid Vanaraua roostetama ja nüüd sittahoor d virisevad süüa ei ole lastel veteran Vanaraud võib anda aega Sada aastat tulevad Euroopa sse aga kui veteran Vanaraud lahkub lahkub soojus külm hakkab -74° nelikümmend aastat on neil aega talusid ettevalmistus kui ei 99.8% lahkuvad kahelt jalalt.,,
Abby Neumann,6 days ago,The President select struggled to string three words together. This is a little above his pay grade. |,,
Susan Arsoniadou,6 days ago,"To all Taliban members: Islam came from Judaism. The Jews are the Chosen Ones  not you.
So pray all you want.",,
ruben vasquez,2 days ago,"Gold heroin weapons   natural Castle ""Thanatos""theater",,
A dF,1 week ago,"This seemed a good explanation of the situation. However, I still do not understand why the Taliban want what they want . Why do they want to oppress their own brothers and sisters ? Why do they not want Afghanistan to restore to its pre Russian invasion era, when it was a glorious , happy and liberal state where women wore mini skirts and beautiful gardens grew. The Afghanistan I read about in KiteRunner",71,View 28 replies
Anastasia Sivchenko,4 days ago (edited),This video seems to be more Taliban friendly then vise versa! Are not they agree Talibaln is an extremistic organisations?,,
The Modern Anti-Progressive Party,4 days ago,"Let them have Afghanistan for now because it will just fuel the next Republican Presidency and Afghanistan will be invaded again.

The Taliban are animals who will never rule in peace!",,
Jennifer J,12 hours ago,Why is Megan markle silent and not on plane this minute to help the women of Afghanistan for 40 minutes?,,
Meaad M,6 days ago,Taliban must go forever and at once.,,
Dafne,1 week ago,It depends on where you start to tell the story. Why always start with the Mujahedeen? Why not with the Imperial British borders?,69,
i234567890,4 days ago,"Another juicy story for you to shine rather than report in time to help the needy. 
Disgusting how you monetize off people's misery.",,
Squintano,4 days ago,And here we are....,,
Jesper Most,5 days ago,"I feel so sorry the Afghan people! 85% don’t like taliban and almost 100% of the Afghan army don’t want to fight them!
Maybe the US. Should have recruited the women for the army instead! 
Seams like they have more to loose",,
Johann Brandstatter,2 days ago,If you prefer the Roman Catholic version of these people - and a slightly different dress sense - just go to Poland !,,
Isra Isra,2 months ago (edited),"""Taliban courts offer Justice""
No need of America then",39,
Anis Hamdane,6 days ago,Bush saying that Taliban will pay a price.. who paid that trillion USD again?,,
#FreePalestine#ForHumanityJoinUs,6 days ago,"The US should've never interfere🙄 They always make it worse for the country they interfere.
On a good side, Taliban got their lesson to not make it too ""restrictive"" when they rule bc that's one of the reasons they fell. Islam is simple (doesn't mean it can be liberal tho), don't complicate it.",,
iamvlan,5 days ago,Sandra is a great storyteller.,,
Bernadine Wood,4 days ago,Billions just sent over as part of our build back better 1.9 trillion DOLLARS PACKAGE!,,
wtf,1 week ago,My sympathy to the afghans facing such devastating conflict  :((,58,View 5 replies
hualing xian,4 days ago,"The lavish shirt serologically brake because rake progressively glue for a nervous lawyer. gullible gusty, irritating acoustic",,
Ali Habibzadeh,21 hours ago,OTT reporting. This wasn't for fashion. its for politics chikitta,,
WunderWaffle,1 day ago,"Islamic fundamentalists, following Muhammad's example.Cut and dry.",,
Robert Maki,4 days ago,Could strengthen them more?   Lol.  We just left them $84 billion in weapons..  high tech weapons,,
tsuks acor,1 week ago,A great country that losses only for personal interest....my prayer for your country and all afghan people,22,
Rhyl Pantaleon,4 days ago,Please tell them what was the root cause why they destroy the twin tower. I think the taliban just fought back because they were poked,,
Slabicus ‘Deadwood’ Headicus,5 days ago,What a weird way to narrate a topic like this,,
Rao Iftikhar,6 days ago,"In short taliban is those .
Whom give defeat to two superpower .
One soviet union and USA",,
The American Monarch,5 days ago,I can't believe Al Jazeera allows a good looking uncovered woman on their program,,View reply
Salah Uddin,1 month ago,Afghanistan is the graveyard of empires!,66,View 10 replies
It's Rajasri,1 day ago,When all this ends and Afghanistan will be peaceful and secured  and be stable like USA it will end up in our history textbooks,15,View 4 replies
King Artaxerxes,6 days ago,"I’m sure glad that Jesus is returning soon. His people will be saved, the living and the dead. Then total wipeout destruction of everyone else. Bye. Bye.",,
Daszon Alexander,6 days ago,Why do you know how much your friend pays for car insurance,,
Muhamad Haziq,3 days ago,Afghans doesn't like foreign powers in their country.  Colonizers already make their country worst,,
Steve A.,6 days ago,"Excellent presentation, the Lady does a great job, and there is really no spin.",23,View 7 replies
I HUNT,4 days ago,Balanced reporting. Unlike BBC's mumbo jumbo.,,
PapaSchultz45,6 days ago,"i have 2 words ""NUKE"" "" THEM"" negociation over, have a great day and goodbye",,
Onyx Wolf,5 days ago,She is a great narrator 🕊,1,
Mohana Anandha Raju K G,3 days ago,An Islamic channel providing information about Taliban.. Woww..,,
Mari Baku Hantam,1 month ago,"Taliban has a respawn feature, even USA can't beat it",101,View 13 replies
Dancing Delilah,4 days ago,The Taliban will go back to doing what they always do......which is destroy everything they touch.,,
Muhammad Ali,6 days ago,"Who are Talibans? 
People who defeated US and humiliated them.",,
Loves Animals Hates Rats,5 days ago,"Where are the 300,000 strong Afghanistan army that the us trained? I’m truly asking I want to know why they can’t fight for their country and need the world to do it for them?",,
Dr khalim moses Amin faduru,6 days ago,Allah is great,,
Dineo Mokgosi,1 week ago,Thank you so very much for this. 🙏🏾,14,
THEBUBBE,6 days ago,"85,000 taliban fighters vs 186,000 Afghan army. I don’t think the Taliban overtook Afghanistan, it looks like they were handed the keys to the cities. 
We can’t keep holding these people up, they don’t want to stand, then we shouldn’t force them. 
The Taliban is responsible for the American occupation in Afghanistan. That’s only new thing I learned in this report.",,
Luvpoly,6 days ago,Congrats For Taliban,,
Muszafar,5 days ago,"This is the western media's interpretation about Taliban, like Taliban is from somewhere else and they invaded Afghanistan. Why the Soviet & US pulled out? Bcoz they are foreigners. Why the Taliban fought them? Bcoz Afghanistan is their land. At the end of the day, they are fighting for their independence and from the warlords that are destroying the country. Let Afghans decide for themselves who should govern them. Let foreigners stay out of Afghan's politics.",,
Red Kop,4 days ago,In answer to the title...A bunch of Animals but that's disrespecting animals..🤔,,
Nadir Aziz,2 months ago (edited),"Now when the Talibans have turned out to be unbeatable, more and more people are speaking in their favour. Keeping aside for a moment the fact that who won and who lost, that's how the world is, come out victorious and the songs of praise will be for you. The same Talibans were being labelled as illiterate, cruel, criminals and what not when the huge allied front was about to start the war against them. The world was thinking that these fighters are just a matter of days, but they remained steadfast and defeated every of their enemies.",14,
Thomas Thomas Philp,4 days ago (edited),Western countries have betrayed Afghanis. They also betrayed Kurds. The also betrayed Iraqis,,
Jalana Jayawardena,8 hours ago,wow,,
Wang Noodle,4 days ago,Who are the Taliban? America's daddy.,,
Karan Joseph,1 day ago,Fun fact: The Taliban gets their guns from one single person in Pakistan and he makes the guns.,2,
Lego Og,1 month ago,0:35 intensely stand up and sits in another chair,24,View reply
yorielynn Sirena,4 days ago,"US Army: used anything to finish the game and taliban
taliban: wait late game
US Army: aight imma out
taliban: epic comeback is real!",,View 2 replies
Kristos Santorini,6 days ago,"its time for saudi arabia, turkey qatar bahrain dubai malaysia imdonesia to help the afghan..,",,
TheDudeAbides,4 days ago,"Yeah, and didn't you guys have exclusive rights to them? You guys make me sick......",,
Hello Me,6 days ago,"There is only one way this war ends, last man standing. I feel bad for the American soldiers who lost their lives there fighting for a country that is not even theirs.",4,
K Rie,2 months ago,Just imagine almost $1 trillions spent on useless war. These money would have been used to build infrastructures and schools that would have reduce poverty. What is wrong with humans?,67,View 13 replies
BMC TN,6 days ago,haha i like how they lie about taliban having drugs .. opium cant be cultivated in these kind of afghanistan soil haha ..aslo tali consider it haram money and they would never do it,,
Bill Cawood,5 days ago,There has never been real peace in Afghanistan since the invasion by Alexander the Great. Al-Qaeda has been dealt with. It was time to get out of Afghanistan. Let them deal with their own problems. It is their country.,,
Rosee G,3 days ago,"“At the worst most people walk out of your life 
So at the end of the day you have yourself”",2,
Ashley Lala,6 days ago,I can’t imagine being over there in that heat with all that rigmarole wrapped around my noggin. We release a LOT of heat from our heads. No wonder they are so hostile and nasty to their women.,,View reply
Rafael C,1 month ago,For everyone living under a rock for the last 20 years don’t worry  al jaazera is here to explain to you who the Taliban is .,45,View 5 replies
Azizah Thery Muthiani,3 days ago,"I don't get it, syaria's law forbid to start a war and super high woman right  protection law (including safety and education). In syaria's law they just allowed to defend them self until they've attacked. And there is soooo much tolerance in islamic law it self (like, if you gay just be gay and if you agnostic just be agnostic). What is the taliban want from all of this? It make me sad, the beauty of islamic culture covered by blood in here.",,
Lizzy Marquez,3 days ago,😢 |,,
Dilan Dsouza,5 days ago,Qatar isn't mentioned in funding,1,
Kev Gitau,2 days ago,Who funds them?,,
"JorDef - Crypto, Games and Sound",1 month ago,"When the Chinese come, the Taliban´ll wish back the Soviets and NATO forces altogether",35,View 8 replies
Nasir Yusoff,6 days ago,"US spent nearly 1 trillion for Afghanistan,  why not they build houses for homeless in US.",,
Oscar Ramirez,5 days ago,Forget the taliban who's the girl,,
Ron Falceso,6 days ago,I'm here because of her not on her documents😉,,
عمر صلاح,1 day ago,"Brainwashed sheep: ThEy DoN't haVe ScHOolS fOr GiRLs!1
Mature people: How can Taliban build a school in 3 days?",3,
MÄ ïSLÆm,1 month ago,US army leaving Afghanistan forever like the British and the Russian occupation forces without gaining anything significant rather a mountain of disappointment and failure.,129,View 10 replies
S M S,6 days ago,Taliban is straight forward they said they want islamic rule ..its the US that changed and left afghanis,,
James Voit,6 days ago,This would be  like  street  gangs taking  over  the US government,,
Lady Bug,9 hours ago,What an evil religion,,
Switch,4 days ago (edited),"This video was posted on 30th May 2021....This comment was first made on 21rd August 2021. On August 17th 2021 which is 4 days before this comment was written,, The US withdraws all forces from Afghanistan and The Taliban take over IMMEDIATELY. There's a massive public outcry as strict Shari'a(Islamic laws) continue getting implemented. Leaders of the Taliban do an interview with a journalist and make promises to retain music, art, movies, the national soccer team and children's parks. These promises have all been broken. Music, art and movies have been banned, the children's park have all been burnt to the ground and the national soccer team is in hiding. Women cannot go out of their homes without a male escort and they cannot go to school, they cannot work or do anything that can grant them indepedence from male dominance. The president has fled the country. The United States, Germany and Britain have imposed sanctions and withdrawn all financial support to Afghanistan in an attempt to slow down the Taliban. China is gearing up to recognize The Taliban as the official government of Afghanistan. The United States congress has voted to expand visas to 19,000 Afghan citizens on top of evacuating 99 American citizens that are trapped in Afghanistan as of this moment. Mothers are crowding at Kabul airport and handing over their babies through the fence to be put on the plane so that they can be adopted by American families. More updates coming soon.",1,
Jack Keane,1 week ago,You have to wear your beard a certain way...you can only go out in certain types of clothing....sounds like my Homeowners Association lol,40,View 2 replies
Ben Seen,5 days ago,"Money money money ! Isn’t that the name of the world game ? That and power ? You decide , I’ll be in the woods setting traps .",,
shorts,4 days ago,That's what Islam all about creating massacres all around world from the first day of it's origin,,
R G Brown,4 days ago,"Look they are just misunderstood they're not a threat to anyone, well apart from women, well apart from women, and gay people I suppose, well just them two, oh and anyone whose not a muslim, so just those three and democracy, well four things but they are very very minor issues, sorry forgot regressive policies returning a country to the stone age, JUST THE 5 THEN!!",,
Janel Micah Barrios,6 days ago,They already did take over,1,
JOhkonut,1 week ago,The Taliban makes $1 billion a year. Know what else makes that much a year? Wendy’s. I will let you do what you want with that information.,31,View 3 replies
Iti Chatterjee,3 days ago,She looks like Jackie Sharp from House of Cards. 🙄,,
GoGo_Gus,4 days ago,You start off looking so woke.  Just saying,,
Ridge,5 days ago,IDGAF about this video content. Only here for the host. 😍,,
Richard Smith,4 days ago,Al Jazeera are noted for their impartiality .;-)  Women in Afghanistan don't get a look in but the reporter seems sympathetic to them which is not really surprising.,,
Qû!ňň!3,1 week ago,"At this point I'm waiting for Christ's return, Humans never learn smh.",44,View 14 replies
Falon Robinson,6 days ago,So they stuck there nose in US business with Osama and US decided to be petty and start a war? Someone explain this to me,,
denunci mesmo,5 days ago,"What a tragedy to see what Afghanistan is today and the lives of Afghans and remember what it was like in the past.
A blinding reminder that any country can suffer if the right conditions are right, the worst of which is Religious Extremism.
If you add Religious extremism to any problem, be it misery, geopolitical interests, corruption, human rights.
in all cases the human being's situation goes down the drain. no matter the country. let it be a reminder that theocracy is only bad for society.",,
HCUhardcoreUnited,4 days ago,Guess those poopy fields dried up.,,
winston ledford,6 days ago,got weapons from Russia,1,
warmecanic,1 week ago (edited),"""In the final analysis, it is their war. They are the ones who have to win it or lose it...""
J.F.K.
Good bye UsA, you just made it worse... as always.",67,View 6 replies
Will Davids,2 days ago,Terries!!!,,
TomozukiII,5 days ago,Fast Forward ... Now we have the answers.,,
dilligaf woftam,4 days ago,Taliban - a group of Afghanis who fought for their country against Russia and America/UK/Australia.  And won.,,View reply
warsame Yaahoo,5 days ago,I don't have any worries if Taliban take control becouse it's their land why western should worried?,,
Vinze Talk,1 week ago,"If the 1 trillion $ spent by US for war being spent for Afghan government projects , imagine how develop Afghanistan would be right now .but you know it's just my imagination . Continue watching ☺️",57,View 3 replies
Stephen McGuire,3 days ago,The Taliban:  Honest followers of the Koran hence a scourge to humanity.,,View reply
Rose of Sharon,6 days ago,"You forgot the Cochin Jews in Kerala, South India..!!...I hope you study about them too...",,
Mahede Hasan,4 days ago,It's all American conspiracy,,
sumant jaiswal,5 days ago,They just did 😅,,
Martin Olivera,1 week ago,"You have the most sweet, calm and beautiful voice I had ever heard",49,View 2 replies
GeorgiePie,5 days ago,Why do you have a female American journalist talking about a strictly male dominated issue?,1,View 2 replies
Young Philly,6 days ago,Taliban vs Isis ?,1,
Abigail Rhodes,4 days ago,"🇺🇸👋🏽🇦🇫In today’s World, the time has come for all people to focus energy in planting solid, +complimentary attributes, that will be impactful to current Generations and to forthcoming Generations, by doing our best to love, live and learn, egoless.",2,
"why, just why",6 days ago (edited),"Now that they have controlled Afghanistan they have allowed girls to go to school which wasn't allowed before, and if they are working under Islamic rules it will be so fair, because Islam is the most fair religion. And Noone talks about the food things they did from when they came till now, and the Afghanistani leader 😂 don't remind me of him that coward he ran in a helicopter that was full of money, to secure himself, the taliban are looking promising.",2,
Erik S,1 week ago,"Taliban army: a century FORWARD in time (USA-made miltary equipment left behind)

Common Afghan citizens: centuries BACK in time (similar level as Iran)",40,View 17 replies
Jamie Joseph,2 days ago,International boycott to Afghanistan. Yuck people,,
Midnight Austin,3 days ago,but should u move to another chair,,
Aria X,4 days ago,Like it or not.. religion is involved. It’s always been involved.,,View 2 replies
Mohammad Hafeez,4 days ago,50 percent true and 50 percent wrong,,
HUNTERMAN,2 months ago,"REMEMBER THE NAME... The graveyard ⛼ of the EMPIRES ""AFGHANISTAN""",46,
Steve Holloway,5 days ago,911was an inside job,,
Helen Anthony,5 days ago,If nothing is done they will get stronger,,
Lace Covered Skies,5 days ago,This video is a crystal ball,,
ALFA MOVICS,6 days ago,its done XD nice foreboding,,
JV Harbin,2 months ago,This ain't the real story of the Bush's and Bin-Ladens.,77,View 4 replies
Cullen Kehoe,6 days ago (edited),Nothing about the Pashtuns? Aren't the Taliban all Pashtuns?,,
Walter Szewczyk,6 days ago,"Hello!!,.......Taliban!!!!!  Tell Osama he,s on his own.  We don,t have answering machine  &  CIA  keep bombarding us with  krank phone calls.  Aaaaaarrrrrrrrrgggghhhhh!!!!",,
Captain Freak,6 days ago,yup islam=pEaCe as always smh,,
Endrit Bajrami,6 days ago,"Don’t know why Americans show us news bout taliban , it’s their buisness not ours",,
Ghufran Shareef,2 months ago (edited),"Why Taliban are strong, why are they unafraid, why they are all time relaxed? Watch, Younne Riddly, a British journalist, who visited afghanistan tells the tale.",74,View 9 replies
Morgan Zachlfich,4 days ago,"""Afghans are already asking themselves what life might be like if the Taliban take over again.""
Well, here's your answer",,
J. Mc,5 days ago,"I feel bad for the Afghan people but really they have their own men to blame. If you don't fight for your country maybe you shouldn't have it. 20 years and billions of American dollars spent and NOW youre running on the tarmac?...I mean, C'mon.",1,
G. Alistar,3 days ago,Taliban = Dothraki,,
Viking Gaming,4 days ago,Good job america. Now they have american wepaons and tanks and drones they can strike iran and get nuclear weapons good job america,,
Awara Panchi,1 month ago,"Bush: The Taliban pay the price
Taliban: Are you comedy me 😂😂😂",56,View 5 replies
Mohammed Suwaid Adonis Puccini Qisi Kain,4 days ago,"I’m British Italian Sicilian and moroc and I believe there needs to be more help in my own country rather than helping these type of countries I find it silly- there’s people here who live on the streets, who have no home and yet we are excepting 20 k refugees. Where do you expect to put them on the street lol",,
Angelina Miguel,3 days ago,Thank God...i live in a peaceful place...,2,
neorth,5 days ago,only thing im a scared of is 911 v2.,,
aman,5 hours ago,"I am from herat province of afghanistan problem is only at Kabul airport and thats the only place controlled by US right now. Quite Frankly. US should have never announced that everyone will be taken they should know that in east especially in afghanistan everyone means ""everyone"" not those who have documents or who helped your forces. Here even those who never were related to US were planning because they wanted cushy life of west. They would have always left like this doesn't matter taliban or no Taliban.",,
JEWEL SA,2 months ago,40 thousands civilian have been killed. Value of some life is very low in this earth 😥,81,View 10 replies
Jason Bondarchuk,6 days ago,we dont get oil from the middle east anymore so the us dipped,,
Raafia Gulzaar,6 days ago,Taliban fought againt gayism in afghans that's why they want a lslamic law n ppl were with thm. N nowthy came into power with the help of Allah. Their patience n resilience paid off. Hats off to thm. Noone treated their enemies as thy.,,
Alfonso Munoz,5 days ago,"When the Soviets invaded in 1979 Afghanistan was mired in a civil war. When the Soviets left the civil war continued, albeit different looking. 
By the way, America's drug users and drug companies are making the Taliban wealthy. Just like America's drug users enriched Latin American cartels.",5,View reply
